playerID,firstName,lastName,number,position,shot,height,weight,dob,birhplace,teamID
OMaat2,Olli,Maatta,2,D,R,6-2,206,8/22/1994,"Jyvaskyla, Finland",DET
JMcIs41,Jared,McIsaac,41,D,R,6-1,192,3/27/2000,"Truro, NS",DET
JPetr46,Jeff,Petry,46,D,R,6-3,209,12/9/1987,"Ann Arbor, MI",DET
BRaff5,Brogan,Rafferty,5,D,R,6-0,195,5/28/1995,"Dundee, IL",DET
MSeid53,Moritz,Seider,53,D,R,6-4,197,4/6/2001,"Zell, Germany",DET
JWalm96,Jake,Walman,96,D,R,6-2,215,2/20/1996,"Toronto, ON",DET
VHuss35,Ville,Husso,35,G,R,6-3,209,2/6/1995,"Helsinki, Finland",DET
ALyon34,Alex,Lyon,34,G,R,6-1,201,12/9/1992,"Baudette, MN",DET
JReim47,James,Reimer,47,G,R,6-2,220,3/15/1988,"Morweena, MB",DET
ABark16,Aleksander,Barkov,16,C,R,6-3,215,9/2/1995,"Tampere, Finland",FLA
SBenn9,Sam,Bennett,9,C,R,6-1,195,6/20/1996,"Holland Landing, ON",FLA
NCous21,Nick,Cousins,21,C,R,5-11,183,7/20/1993,"Belleville, ON",FLA
SLore18,Steven,Lorentz,18,C,R,6-4,206,4/13/1996,"Kitchener, ON",FLA
ALund15,Anton,Lundell,15,C,R,6-1,185,10/3/2001,"Espoo, Finland",FLA
ELuos27,Eetu,Luostarinen,27,C,R,6-3,190,9/2/1998,"Siilinjarvi, Finland",FLA
SRein13,Sam,Reinhart,13,C,R,6-2,193,11/6/1995,"West Vancouver, BC",FLA
ERodr—,Evan,Rodrigues,—,C,R,5-11,184,7/28/1993,"Toronto, ON",FLA
KSten28,Kevin,Stenlund,28,C,R,6-4,215,9/20/1996,"Stockholm, Sweden",FLA
ATrue—,Alexander,True,—,C,R,6-5,200,7/17/1997,"Copenhagen, Denmark",FLA
CVerh23,Carter,Verhaeghe,23,C,R,6-2,180,8/14/1995,"Toronto, ON",FLA
RAspl—,Rasmus,Asplund,—,RW,R,5-11,189,12/3/1997,"Filipstad, Sweden",FLA
WLock—,Will,Lockwood,—,RW,R,5-11,171,6/20/1998,"Royal Oak, MI",FLA
RLomb94,Ryan,Lomberg,94,LW,R,5-9,187,12/9/1994,"Richmond Hill, ON",FLA
MSamo25,Mackie,Samoskevich,25,RW,—,5-11,191,11/15/2002,"Newtown, CT",FLA
JSour24,Justin,Sourdif,24,RW,R,5-11,173,3/24/2002,"Surrey, BC",FLA
MTkac19,Matthew,Tkachuk,19,LW,R,6-2,202,12/11/1997,"Scottsdale, AZ",FLA
UBali26,Uvis,Balinskis,26,D,R,6-0,196,8/1/1996,"Ventspils, Latvia",FLA
LCarl32,Lucas,Carlsson,32,D,R,6-0,189,7/5/1997,"Gavle, Sweden",FLA
OEkma23,Oliver,Ekman-Larsson,23,D,R,6-2,200,7/17/1991,"Karlskrona, Sweden",FLA
GFors42,Gustav,Forsling,42,D,R,6-0,186,6/12/1996,"Linkoping, Sweden",FLA
MKier3,Matt,Kiersted,3,D,—,6-0,181,4/14/1998,"Elk River, MN",FLA
DKuli—,Dmitry,Kulikov,—,D,R,6-1,201,10/29/1990,"Lipetsk, USSR",FLA
JMahu28,Josh,Mahura,28,D,R,6-0,185,5/5/1998,"St. Albert, AB",FLA
NMikk—,Niko,Mikkola,—,D,R,6-4,209,4/27/1996,"Kiiminki, Finland",FLA
MReil6,Mike,Reilly,6,D,R,6-2,198,7/13/1993,"Chicago, IL",FLA
SBobr72,Sergei,Bobrovsky,72,G,R,6-2,182,9/20/1988,"Novokuznetsk, USSR",FLA
SKnig30,Spencer,Knight,30,G,—,6-3,192,4/19/2001,"Darien, CT",FLA
AStol—,Anthony,Stolarz,—,G,R,6-6,243,1/20/1994,"Edison, NJ",FLA
LAnde—,Lias,Andersson,—,C,R,6-1,190,10/13/1998,"Smogen, Sweden",MON
KDach77,Kirby,Dach,77,C,R,6-4,197,1/21/2001,"Fort Saskatchewan, AB",MON
JEvan71,Jake,Evans,71,C,R,6-0,176,6/2/1996,"Toronto, ON",MON
SFarr57,Sean,Farrell,57,C,—,5-9,174,11/2/2001,"Hopkinton, MA",MON
PMail16,Philippe,Maillet,16,C,R,5-10,190,11/7/1992,"Lachenaie, PQ",MON
SMona91,Sean,Monahan,91,C,R,6-2,200,10/12/1994,"Brampton, ON",MON
ANewh15,Alex,Newhook,15,C,R,5-10,190,1/28/2001,"St. John's, NL",MON
NSuzu14,Nick,Suzuki,14,C,R,5-11,205,8/10/1999,"London, ON",MON
JAnde17,Josh,Anderson,17,RW,R,6-3,227,5/7/1994,"Burlington, ON",MON
CCauf22,Cole,Caufield,22,RW,R,5-7,166,1/2/2001,"Stevens Point, WI",MON
BGall11,Brendan,Gallagher,11,RW,R,5-9,184,5/6/1992,"Edmonton, AB",MON
RHarv49,Rafael,Harvey-Pinard,49,LW,R,5-9,182,1/6/1999,"Jonquiere, PQ",MON
TPear70,Tanner,Pearson,70,LW,—,6-1,201,8/10/1992,"Kitchener, ON",MON
MPezz55,Michael,Pezzetta,55,LW,R,6-1,216,3/13/1998,"Toronto, ON",MON
JSlaf20,Juraj,Slafkovsky,20,LW,—,6-4,229,3/30/2004,"Kosice, SK",MON
JTeas38,Joel,Teasdale,38,LW,R,6-0,205,3/11/1999,"Repentigny, PQ",MON
JYlon56,Jesse,Ylonen,56,RW,R,6-0,167,10/3/1999,"Scottsdale, AZ",MON
JBarr52,Justin,Barron,52,D,R,6-2,195,11/15/2001,"Halifax, NS",MON
NBeau—,Nicolas,Beaudin,—,D,R,5-11,175,10/7/1999,"Chateauguay, PQ",MON
KGuhl21,Kaiden,Guhle,21,D,R,6-2,199,1/18/2002,"Sherwood Park, AB",MON
JHarr54,Jordan,Harris,54,D,—,5-11,179,7/7/2000,"Haverhill, MA",MON
BKeep25,Brady,Keeper,25,D,R,6-2,209,6/5/1996,"Cross Lake, MB",MON
JKova26,Johnathan,Kovacevic,26,D,R,6-4,208,7/12/1997,"Niagara Falls, ON",MON
MMath8,Mike,Matheson,8,D,R,6-2,188,2/27/1994,"Pointe-Claire, PQ",MON
DSava58,David,Savard,58,D,R,6-1,234,10/22/1990,"St. Hyacinthe, PQ",MON
AXhek72,Arber,Xhekaj,72,D,R,6-4,225,1/30/2001,"Hamilton, ON",MON
JAlle34,Jake,Allen,34,G,R,6-2,190,8/7/1990,"Fredericton, NB",MON
SMont35,Sam,Montembeault,35,G,R,6-3,199,10/30/1996,"Becancour, PQ",MON
CPrim30,Cayden,Primeau,30,G,R,6-3,203,8/11/1999,"Voorhees, NJ",MON
RChar49,Rourke,Chartier,49,C,R,6-0,203,4/3/1996,"Saskatoon, SK",OTT
JCurr—,Josh,Currie,—,C,R,5-10,172,10/29/1992,"Charlottetown, PE",OTT
CGiro28,Claude,Giroux,28,C,R,5-11,185,1/12/1988,"Hearst, ON",OTT
RGrei71,Ridly,Greig,71,C,R,5-11,163,8/8/2002,"Lethbridge, AB",OTT
MHigh—,Matthew,Highmore,—,C,R,5-11,188,2/27/1996,"Halifax, NS",OTT
MKast47,Mark,Kastelic,47,C,R,6-3,210,3/11/1999,"Phoenix, AZ",OTT
ZMacE17,Zack,MacEwen,17,C,R,6-3,205,7/8/1996,"Charlottetown, PE",OTT
GPilo—,Garrett,Pilon,—,C,R,6-0,192,4/13/1998,"Kindersley, SK",OTT
JBail16,Josh,Bailey,16,RW,R,6-1,200,10/2/1989,"Bowmanville, ON",OTT
DBath19,Drake,Batherson,19,RW,R,6-3,204,4/27/1998,"Fort Wayne, IN",OTT
BImam—,Bokondji,Imama,—,LW,R,6-1,221,8/3/1996,"Montreal, PQ",OTT
MJose21,Mathieu,Joseph,21,RW,R,6-1,190,2/9/1997,"Laval, PQ",OTT
PKell27,Parker,Kelly,27,LW,R,6-0,188,5/14/1999,"Camrose, AB",OTT
DKuba81,Dominik,Kubalik,81,LW,R,6-2,179,8/21/1995,"Plzen, Czech Republic",OTT
ESoko75,Egor,Sokolov,75,LW,R,6-3,222,6/7/2000,"Yekaterinburg, Russia",OTT
TStut18,Tim,Stutzle,18,LW,R,6-0,190,1/15/2002,"Viersen, Germany",OTT
VTara91,Vladimir,Tarasenko,91,RW,R,6-1,228,12/13/1991,"Yaroslavl, Russia",OTT
BTkac7,Brady,Tkachuk,7,LW,R,6-4,211,9/16/1999,"Scottsdale, AZ",OTT
JBern24,Jacob,Bernard-Docker,24,D,—,6-0,190,6/30/2000,"Canmore, AB, Canada",OTT
EBran26,Erik,Brannstrom,26,D,R,5-10,185,9/2/1999,"Eksjo, Sweden",OTT
TChab72,Thomas,Chabot,72,D,R,6-2,196,1/30/1997,"Sainte-Marie, PQ",OTT
JChyc6,Jakob,Chychrun,6,D,R,6-2,220,3/31/1998,"Boca Raton, FL",OTT
MGuen50,Maxence,Guenette,50,D,R,6-1,181,4/28/2001,"Sainte-Foy, PQ",OTT
THamo23,Travis,Hamonic,23,D,R,6-2,205,8/16/1990,"St. Malo, MB",OTT
DHeat29,Dillon,Heatherington,29,D,R,6-4,220,5/9/1995,"Calgary, AB",OTT
TKlev43,Tyler,Kleven,43,D,—,6-4,200,1/10/2002,"Fargo, ND",OTT
JLars32,Jacob,Larsson,32,D,R,6-2,190,4/29/1997,"Ljungby, Sweden",OTT
JSand85,Jake,Sanderson,85,D,—,6-0,185,7/8/2002,"Whitefish, MT",OTT
DSebr44,Donovan,Sebrango,44,D,R,6-1,194,1/12/2002,"Kingston, ON",OTT
AZub2,Artem,Zub,2,D,R,6-2,202,10/3/1995,"Khabarovsk, Russia",OTT
AFors31,Anton,Forsberg,31,G,R,6-3,192,11/27/1992,"Harnosand, Sweden",OTT
JKorp70,Joonas,Korpisalo,70,G,R,6-3,193,4/28/1994,"Pori, Finland",OTT
ABarr12,Alex,Barre-Boulet,12,C,R,5-10,180,5/21/1997,"Montmagny, PQ",TB
ACire71,Anthony,Cirelli,71,C,R,6-0,191,7/15/1997,"Etobicoke, ON",TB
MEyss23,Mikey,Eyssimont,23,C,—,6-0,185,9/9/1996,"Littleton, CO",TB
LGlen11,Luke,Glendening,11,C,R,5-11,190,4/28/1989,"Grand Rapids, MI",TB
WMere39,Waltteri,Merela,39,C,—,6-2,196,7/6/1998,"Tampere, FI",TB
NPaul20,Nick,Paul,20,C,R,6-3,224,3/20/1995,"Mississauga, ON",TB
BPoin21,Brayden,Point,21,C,R,5-10,183,3/13/1996,"Calgary, AB",TB
SStam91,Steven,Stamkos,91,C,R,6-1,193,2/7/1990,"Markham, ON",TB
BHage38,Brandon,Hagel,38,LW,R,5-11,174,8/27/1998,"Saskatoon, SK",TB
TJean84,Tanner,Jeannot,84,LW,R,6-2,208,5/29/1997,"Estevan, SK",TB
NKuch86,Nikita,Kucherov,86,RW,R,5-11,183,6/17/1993,"Maykop, Russia",TB
CShea73,Conor,Sheary,73,LW,R,5-9,179,6/8/1992,"Winchester, MA",TB
AWats51,Austin,Watson,51,LW,R,6-4,204,1/13/1992,"Ann Arbor, MI",TB
ZBogo24,Zach,Bogosian,24,D,R,6-2,200,7/15/1990,"Massena, NY",TB
ECern81,Erik,Cernak,81,D,R,6-3,230,5/28/1997,"Kosice, Slovakia",TB
HFleu7,Haydn,Fleury,7,D,R,6-3,208,7/8/1996,"Carlyle, SK",TB
VHedm77,Victor,Hedman,77,D,R,6-6,241,12/18/1990,"Ornskoldsvik, Sweden",TB
NPerb48,Nicklaus,Perbix,48,D,—,6-2,191,6/15/1998,"Minneapolis, MN",TB
DRadd43,Darren,Raddysh,43,D,R,6-1,200,2/28/1996,"Caledonia, ON",TB
MSerg98,Mikhail,Sergachev,98,D,R,6-3,216,6/25/1998,"Nizhnekamsk, Russia",TB
Cde44,Calvin,de,44,D,R,6-1,195,5/9/1991,"Carp, ON",TB
JJoha31,Jonas,Johansson,31,G,R,6-5,220,9/19/1995,"Gavle, Sweden",TB
MTomk90,Matt,Tomkins,90,G,R,6-3,194,6/19/1994,"Sherwood Park, AB",TB
MDomi11,Max,Domi,11,C,R,5-10,194,3/2/1995,"Winnipeg, MB",TOR
NGreg18,Noah,Gregor,18,C,R,6-0,185,7/28/1998,"Beaumont, AB",TOR
CJarn19,Calle,Jarnkrok,19,C,R,5-11,186,9/25/1991,"Gavle, Sweden",TOR
DKamp64,David,Kampf,64,C,R,6-1,193,1/12/1995,"Chomutov, Czech Republic",TOR
AMatt34,Auston,Matthews,34,C,R,6-3,205,9/17/1997,"San Ramon, CA",TOR
FMint39,Fraser,Minten,39,C,—,6-1,185,7/5/2004,"Vancouver, CA",TOR
JTava91,John,Tavares,91,C,R,6-1,211,9/20/1990,"Mississauga, ON",TOR
TBert59,Tyler,Bertuzzi,59,LW,R,6-1,197,2/24/1995,"Sudbury, ON",TOR
MKnie23,Matthew,Knies,23,LW,—,6-2,210,10/17/2002,"Phoenix, AZ",TOR
MMarn16,Mitchell,Marner,16,RW,R,6-0,172,5/5/1997,"Markham, ON",TOR
WNyla88,William,Nylander,88,RW,R,6-0,202,5/1/1996,"Calgary, AB",TOR
RReav75,Ryan,Reaves,75,RW,R,6-2,225,1/20/1987,"Winnipeg, MB",TOR
AStee46,Alex,Steeves,46,LW,—,5-11,185,12/10/1999,"Bedford, NH",TOR
SBeno13,Simon,Benoit,13,D,R,6-3,203,9/19/1998,"Laval, PQ",TOR
TBrod78,T.J.,Brodie,78,D,R,6-1,179,6/7/1990,"Chatham, ON",TOR
CDahl48,Carl,Dahlstrom,48,D,R,6-5,229,1/28/1995,"Stockholm, Sweden",TOR
MGior55,Mark,Giordano,55,D,R,6-1,200,10/3/1983,"Toronto, ON",TOR
JKlin3,John,Klingberg,3,D,R,6-3,190,8/14/1992,"Gothenburg, Sweden",TOR
TLilj37,Timothy,Liljegren,37,D,R,6-1,192,4/30/1999,"Kristianstad, Sweden",TOR
JMcCa22,Jake,McCabe,22,D,R,6-1,204,10/12/1993,"Eau Claire, WI",TOR
MRiel44,Morgan,Rielly,44,D,R,6-1,220,3/9/1994,"Vancouver, BC",TOR
ISams35,Ilya,Samsonov,35,G,R,6-3,200,2/22/1997,"Magnitogorsk, Russia",TOR
JWoll60,Joseph,Woll,60,G,R,6-4,203,7/12/1998,"Dardenne Prairie, MO",TOR
NBjug72,Nick,Bjugstad,72,C,R,6-6,209,7/17/1992,"Minneapolis, MN",ARI
TBoyd72,Travis,Boyd,72,C,R,6-0,190,9/14/1993,"Hopkins, MN",ARI
LCool92,Logan,Cooley,92,C,—,5-11,180,5/4/2004,"Pittsburgh, PA",ARI
AGalc—,Alex,Galchenyuk,—,C,R,6-1,207,2/12/1994,"Milwaukee, WI",ARI
BHayt29,Barrett,Hayton,29,C,R,6-1,190,6/9/2000,"Peterborough, ON",ARI
CKell9,Clayton,Keller,9,C,R,5-10,178,7/29/1998,"Chesterfield, MO",ARI
AKerf—,Alexander,Kerfoot,—,C,R,5-10,181,8/11/1994,"Vancouver, BC",ARI
JMcBa22,Jack,McBain,22,C,—,6-4,208,1/6/2000,"Toronto, CA",ARI
NSchm8,Nick,Schmaltz,8,C,R,6-0,181,2/23/1996,"Madison, WI",ARI
TBarr73,Travis,Barron,73,LW,R,6-1,205,8/17/1998,"Brampton, ON",ARI
MCarc53,Michael,Carcone,53,LW,R,5-10,170,5/19/1996,"Ajax, ON",ARI
LCrou67,Lawson,Crouse,67,LW,R,6-4,215,6/23/1997,"Mt. Brydges, ON",ARI
MKele21,Milos,Kelemen,21,LW,—,6-2,210,7/6/1999,"Lucenec, Slovakia",ARI
MMacc63,Matias,Maccelli,63,LW,R,5-11,165,10/14/2000,"Turku, Finland",ARI
LO'Br38,Liam,O'Brien,38,LW,R,6-1,213,7/29/1994,"Halifax, NS",ARI
JVora93,Jakub,Voracek,93,RW,R,6-2,209,8/15/1989,"Kladno, Czechoslovakia",ARI
JZuck16,Jason,Zucker,16,LW,R,5-11,192,1/16/1992,"Newport Beach, CA",ARI
JBrow3,Josh,Brown,3,D,R,6-5,217,1/21/1994,"London, ON",ARI
TDerm33,Travis,Dermott,33,D,R,6-0,202,12/22/1996,"Newmarket, ON",ARI
MDumb24,Matt,Dumba,24,D,R,6-0,181,7/25/1994,"Regina, SK",ARI
SDurz50,Sean,Durzi,50,D,R,6-0,185,10/21/1998,"Mississauga, ON",ARI
MKess5,Michael,Kesselring,5,D,R,6-4,190,1/13/2000,"Florence, SC",ARI
JMose90,Janis,Moser,90,D,R,6-1,172,6/6/2000,"Biel, Switzerland",ARI
TStec51,Troy,Stecher,51,D,R,5-10,184,4/7/1994,"Richmond, BC",ARI
JVali4,Juuso,Valimaki,4,D,R,6-2,212,10/6/1998,"Tampere, Finland",ARI
CIngr39,Connor,Ingram,39,G,R,6-2,196,3/31/1997,"Saskatoon, SK",ARI
IPros50,Ivan,Prosvetov,50,G,R,6-5,175,3/5/1999,"Moscow, Russia",ARI
KVejm70,Karel,Vejmelka,70,G,R,6-3,224,5/25/1996,"Trebic, Czech Republic",ARI
MVill31,Matt,Villalta,31,G,R,6-3,165,1/3/1999,"Kingston, ON",ARI
AAtha89,Andreas,Athanasiou,89,C,R,6-2,188,8/6/1994,"Woodbridge, ON",CHI
CBeda98,Connor,Bedard,98,C,—,5-10,185,7/17/2005,"North Vancouver, CA",CHI
CDach28,Colton,Dach,28,C,R,6-4,196,1/4/2003,"Fort Saskatchewan, AB",CHI
JDick16,Jason,Dickinson,16,C,R,6-2,200,7/4/1995,"Georgetown, ON",CHI
RDona8,Ryan,Donato,8,C,R,6-0,192,4/9/1996,"Boston, MA",CHI
CGutt70,Cole,Guttman,70,C,—,5-9,167,4/6/1999,"Northridge, CA",CHI
TJohn90,Tyler,Johnson,90,C,R,5-8,185,7/29/1990,"Spokane, WA",CHI
MEntw58,MacKenzie,Entwistle,58,RW,R,6-3,184,7/14/1999,"Georgetown, ON",CHI
NFoli17,Nick,Foligno,17,LW,R,6-0,210,10/31/1987,"Buffalo, NY",CHI
THall71,Taylor,Hall,71,LW,R,6-1,207,11/14/1991,"Calgary, AB",CHI
RJohn52,Reese,Johnson,52,RW,R,6-1,193,7/10/1998,"Saskatoon, SK",CHI
BKatc14,Boris,Katchouk,14,LW,R,6-2,206,6/18/1998,"Waterloo, ON",CHI
CPerr94,Corey,Perry,94,RW,R,6-3,206,5/16/1985,"Peterborough, ON",CHI
TRadd11,Taylor,Raddysh,11,RW,R,6-3,198,2/18/1998,"Caledon, ON",CHI
LReic27,Lukas,Reichel,27,LW,—,6-0,170,5/17/2002,"Nuremberg, Germany",CHI
BRobi53,Buddy,Robinson,53,RW,R,6-6,226,9/30/1991,"Bellmawr, NJ",CHI
SJone4,Seth,Jones,4,D,R,6-4,213,10/3/1994,"Arlington, TX",CHI
WKais44,Wyatt,Kaiser,44,D,—,6-0,173,7/31/2002,"Andover, MN",CHI
KKorc55,Kevin,Korchinski,55,D,—,6-2,185,6/21/2004,"Saskatoon, CA",CHI
CMurp5,Connor,Murphy,5,D,R,6-4,212,3/26/1993,"Dublin, OH",CHI
JTino25,Jarred,Tinordi,25,D,R,6-6,232,2/20/1992,"Millersville, MD",CHI
AVlas72,Alex,Vlasic,72,D,—,6-6,198,6/5/2001,"Wilmette, IL",CHI
NZait22,Nikita,Zaitsev,22,D,R,6-2,195,10/29/1991,"Moscow, USSR",CHI
PMraz34,Petr,Mrazek,34,G,R,6-2,188,2/14/1992,"Ostrava, Czechoslovakia",CHI
ASode40,Arvid,Soderblom,40,G,R,6-3,180,8/19/1999,"Goteborg, Sweden",CHI
ACogl11,Andrew,Cogliano,11,C,R,5-10,175,6/14/1987,"Toronto, ON",COL
RColt20,Ross,Colton,20,C,R,6-0,191,9/11/1996,"Robbinsville, NJ",COL
JDrou—,Jonathan,Drouin,—,C,R,6-0,203,3/28/1995,"Ste-Agathe, PQ",COL
RJoha12,Ryan,Johansen,12,C,R,6-3,218,7/31/1992,"Vancouver, BC",COL
